Sample,Cr,Cu,As,Se,Cd,Sn,Pb,Rb(ug/L),Ru,Cs,Ir,V,Co,Ag,Pt,Au,Ti
1,1.624,13.363,0.636,3.36,0.021,0.06,0.407,7.312,0.034,0.71,0.109,0.032,0.054,0.054,0.172,0,0.004
2,0.447,13.12,0.662,2.172,0.016,0.053,0.724,8.415,0.011,0.405,0,0.071,0.048,0.048,0,0.075,0.005
3,2.635,14.561,0.44,1.468,0.05,0.057,0.276,6.964,0.115,0.48,0,0.032,0.037,0.037,0.04,0.14,0.003
4,0.435,14.66,0.258,2.46,0.01,0.035,0.359,5.606,0.072,0.438,0.018,0.035,0.05,0.05,0.04,0,0.001
5,0.458,8.423,0.234,1.93,0.026,0.12,1.009,5.019,0.014,0.692,0.019,0.047,0.016,0.016,0,0.072,0
6,0.215,8.025,0.263,1.081,0.01,0.048,0.206,7.685,0.000,0.417,0,0.045,0.074,0.074,0,0,0.004
7,0.3,8.12,0.292,2.306,0.007,0.01,0.066,9.176,0.041,0.662,0.037,0.022,0.021,0.021,0.043,0,0.003
8,0.366,12.759,0.258,1.652,0.02,0.101,0.617,5.115,0.022,0.421,0.054,0.062,0.076,0.076,0.04,0,0.001
9,0.493,14.662,0.185,3.444,0.01,0.087,0.394,7.392,0.021,0.516,0,0.059,0.053,0.053,0.087,0,0.002
10,0.388,13.046,0.338,2.579,0.025,0.089,2.863,5.315,0.193,0.586,0.061,0.042,0.035,0.035,0,0,0.005
11,1.585,12.735,0.21,1.95,0.014,0.066,0.23,4.199,0.014,0.128,0.035,0.064,0.049,0.049,0.043,0,0.002
12,0.223,13.457,0.129,2.145,0.01,0.01,0.165,10,0.17,0.71,0,0.031,0.099,0.099,0,0.088,0.001
13,0.497,14.577,0.315,0.968,0.017,0.087,0.494,2.946,0.024,0.234,0,0.052,0.051,0.051,0.048,0,0.002
14,0.219,9.282,0.149,1.434,0.008,0.067,0.157,6.217,0.137,0.487,0.049,0.012,0.023,0.023,0.084,0.082,0.001
15,0.325,12.96,0.217,2.447,0.004,0.043,0.471,9.403,0.000,0.431,0,0.06,0.048,0.048,0,0.092,0.007
16,3.019,13.261,0.171,2.124,0.012,0.072,0.345,10.986,0.000,1.464,0.036,0.01,0.034,0.034,0,0,0.005
17,0.285,10.687,0.297,1.898,0.015,0.057,0.198,5.401,0.014,0.21,0.02,0.017,0.031,0.031,0.076,0,0.005
18,0.199,14.11,0.178,2.311,0.031,0.033,0.42,3.929,0.004,0.271,0,0.041,0.012,0.012,0,0,0.004
19,0.949,11.901,0.229,2.552,0.023,0.033,0.429,3.74,0.092,0.26,0.018,0.048,0.05,0.05,0.081,0,0
20,0.312,9.189,0.117,1.958,0.007,0.029,0.117,7.047,0.018,0.596,0.036,0.046,0.036,0.036,0.085,0,0.002
21,0.666,10.095,0.202,1.754,0.015,0.052,1.31,4.341,0.024,0.364,0.037,0.074,0.09,0.09,0,0.172,0
22,0.413,8.042,0.158,1.228,0.016,0.041,0.417,2.736,0.000,0.069,0.036,0.101,0.023,0.023,0.128,0,0.002
23,0.304,12.78,0.558,4.354,0.008,0.055,0.338,7.259,0.009,0.255,0.037,0.032,0.116,0.116,0.042,0,0
24,0.294,11.986,0.177,2.193,0.017,0.056,0.589,10.362,0.038,0.579,0,0.091,0.067,0.067,0,0,0.003
25,0.632,11.598,0.205,1.827,0.005,0.077,1.737,14.269,0.004,0.478,0,0.06,0.045,0.045,0.048,0.14,0.005
26,0.214,17.489,0.145,2.401,0.018,0.041,0.331,4.795,0.019,0.173,0.04,0.049,0.076,0.076,0.049,0,0.005
27,0.188,11.22,0.272,2.156,0.007,0.095,2.102,3.85,0.014,0.265,0,0.046,0.082,0.082,0.088,0.087,0.003
28,0.527,10.141,0.297,2.896,0.01,0.043,0.214,8.688,0.000,0.646,0.036,0.028,0.019,0.019,0.21,0,0
29,1.006,14.655,0.414,2.055,0.011,0.025,0.374,4.862,0.059,0.343,0,0.093,0.06,0.06,0.041,0,0.002
30,0.317,13.775,0.202,2.06,0.045,0.126,1.071,7.955,0.037,0.525,0.017,0.086,0.135,0.135,0.04,0.182,0.001
31,0.263,9.782,0.117,3.761,0.003,0.04,0.183,2.488,0.004,0.128,0.014,0.05,0.066,0.066,0,0,0.001
32,0.337,7.147,0.222,1.534,0.02,0.032,0.269,4.737,0.000,0.364,0.018,0.014,0.056,0.056,0.052,0,0.003
33,0.233,19.288,0.323,1.158,0.014,0.056,0.202,1.903,0.005,0.076,0,0.026,0.019,0.019,0,0.084,0.004
34,3.314,9.94,0.174,3.709,0.025,0.075,0.265,12.966,0.000,0.312,0,0.025,0.084,0.084,0.045,0,0
35,2.215,12.835,0.214,1.534,0.031,0.058,0.324,8.197,0.000,0.537,0.036,0.017,0.062,0.062,0.045,0,0.005
36,0.34,13.843,0.131,2.158,0.003,0.06,0.532,11.319,0.014,0.574,0,0.043,0.081,0.081,0.045,0,0.002
37,0.244,14.801,0.104,3.136,0.023,0.047,0.279,14.33,0.004,0.626,0,0.064,0.099,0.099,0.064,0,0.004
38,0.261,14.34,0.142,2.337,0.028,0.058,0.736,7.098,0.000,0.426,0.018,0.062,0.113,0.113,0.061,0,0.004
39,0.624,11.485,0.267,2.075,0.017,0.077,0.26,5.006,0.001,0.265,0,0.05,0.05,0.05,0.173,0.09,0.003
40,0.328,10.42,0.175,1.543,0.01,0.029,0.36,7.58,0.000,0.425,0,0.02,0.028,0.028,0.091,0,0.002
41,0.321,15.638,0.173,0.753,0.029,0.124,0.168,4.994,0.000,0.174,0,0.046,0.036,0.036,0.051,0.073,0.004
42,0.325,16.254,0.067,2.366,0.015,0.089,0.319,15.166,0.000,3.08,0.037,0.005,0.000,0.000,0.1,0,0.006
43,0.647,13.245,0.36,2.541,0.02,0.135,0.445,5.377,0.000,0.279,0.018,0.048,0.089,0.089,0.039,0,0.001
44,0.618,13.709,0.294,3.666,0.06,0.091,0.637,8.821,0.000,0.273,0.035,0.064,0.108,0.108,0.133,0,0
45,0.531,12.581,0.223,2.638,0,0.059,1.816,5.8,0.000,0.397,0,0.059,0.206,0.206,0.045,0.16,0.002
46,0.776,14.115,0.288,3.11,0.014,0.091,0.916,6.486,0.000,0.259,0,0.032,0.076,0.076,0.094,0,0.005
47,1.081,12.237,0.156,2.996,0.007,0.026,0.491,8.648,0.000,0.375,0,0.033,0.044,0.044,0.047,0,0.008
48,0.307,8.146,0.157,1.003,0.022,0.035,0.167,8.995,0.000,1.015,0,0.076,0.111,0.111,0.066,0.122,0.003
49,0.589,16.627,0.418,9.421,0.011,0.077,0.65,3.646,0.000,0.19,0.018,0.016,0.023,0.023,0,0,0.002
50,0.574,11.489,0.39,4.475,0.008,0.055,0.702,5.459,0.000,0.332,0,0.038,0.129,0.129,0,0,0.000
51,0.432,13.007,0.389,3.405,0.014,0.026,0.456,7.676,0.000,0.416,0,0.022,0.054,0.054,0,0,0.003
52,0.444,15.515,0.267,1.635,0.026,0.073,0.941,2.637,0.000,0.163,0.018,0.018,0.024,0.024,0.091,0.171,0.000
53,0.476,14.992,0.2,2.738,0.026,0.021,0.398,6.129,0.000,0.461,0,0.051,0.101,0.101,0.042,0,0.002
54,0.76,10.213,0.224,2.734,0.029,0.064,0.692,12.492,0.000,0.969,0.039,0.044,0.073,0.073,0.108,0,0.003
55,0.372,15.204,0.126,2.683,0.012,0.063,0.27,12.567,0.000,0.619,0,0.047,0.084,0.084,0.054,0,0.005
56,0.474,16.173,0.311,4.052,0.015,0.043,0.233,7.126,0.000,0.453,0,0.072,0.087,0.087,0.262,0,0.006
57,0.767,13.522,0.196,5.835,0.028,0.03,0.297,11.855,0.000,0.896,0.018,0.023,0.067,0.067,0,0.087,0.005
58,0.281,15.603,0.176,2.367,0.001,0,0.093,3.249,0.000,0.073,0,0.016,0.03,0.03,0,0,0.005
59,0.547,15.738,0.195,1.568,0.017,0.037,2.13,8.355,0.000,0.524,0.019,0.052,0.066,0.066,0.047,0.086,0.007
60,0.909,16.677,0.218,2.766,0.048,0.031,2.559,14.473,0.000,2.835,0,0.023,0.058,0.058,0,0,0.007
61,0.353,11.976,0.152,1.803,0.021,0.03,0.714,21.873,0.000,2.356,0,0.032,0.019,0.019,0,0,0.125
62,0.439,12.027,0.21,2.058,0.025,0.062,0.754,6.069,0.000,0.147,0,0.024,0.065,0.065,0,0.178,0.001
63,0.356,11.322,0.284,1.611,0.018,0.05,0.528,8.149,0.000,0.301,0,0.023,0.03,0.03,0,0,0.005
64,0.517,11.618,0.146,2.388,0,0.028,0.241,9.033,0.000,0.177,0,0.012,0.045,0.045,0,0,0.002
65,0.08,6.561,0.078,3.731,0.018,0.007,0.299,1.147,0.000,0.049,0,0.000,0.002,0.002,0.141,0,0.003
66,0.42,11.659,0.081,4.898,-0.003,0.026,0.187,3.014,0.001,0.094,0.033,0.005,0.024,0.024,0.202,0.102,0.004
67,0.005,1.776,0.056,0.368,0.025,-0.001,0.144,1.07,0.000,0.073,0,0.006,0.000,0.000,0,0,0
68,0.506,5.184,0.094,2.013,0.01,0.011,0.136,5.843,0.000,0.397,0.031,0.018,0.000,0.000,0.055,0,0.004
69,0.16,13.813,0.157,0.607,0.013,0.071,0.273,2.424,0.000,0.062,0.066,0.028,0.042,0.042,0,0,0.002
70,0.592,9.309,0.239,1.205,0.026,0.021,0.112,3.889,0.000,0.274,0,0.03,0.041,0.041,0.047,0,0
71,0.931,8.166,0.242,1.393,0.022,0.006,0.157,5.661,0.000,0.467,0,0.019,0.033,0.033,0.053,0,0.002
72,0.26,7.657,0.075,7.566,0.009,-0.005,0.162,15.158,0.000,1.376,0,0.032,0.044,0.044,0,0.113,0.01
73,0.507,9.471,0.078,4.935,0.026,0.021,0.111,20.868,0.000,1.88,0,0.035,0.031,0.031,0.049,0,0.101
74,0.276,8.114,0.15,1.431,0.045,0.037,0.379,7.455,0.000,0.492,0,0.028,0.057,0.057,0.05,0,0
75,0.148,7.622,0.146,0.789,0.032,0.022,0.286,1.521,0.000,0.076,0,0.018,0.021,0.021,0.096,0,0.001
76,0.504,6.619,0.074,1.858,0.032,0.086,0.519,9.28,0.000,0.164,0,0.047,0.095,0.095,0,0,0.001
77,0.106,5.124,0.088,3.398,0.014,0.004,0.214,2.703,0.000,0.125,0.034,0.000,0.03,0.03,0,0,0.001
78,0.333,6.46,0.145,1.967,0.008,0.067,0.262,3.139,0.000,0.134,0,0.033,0.02,0.02,0,0,0.002
79,0.18,7.177,0.047,2.284,0.025,0.031,0.414,1.478,0.000,0.11,0,0.024,0.004,0.004,0,0,0.005
80,0.192,2.716,0.122,0.733,0.023,0.012,0.223,0.712,0.000,0.027,0,0.034,0.03,0.03,0.102,0,0.002
81,0.324,13.245,0.132,1.323,0.028,0.032,0.265,4.548,0.000,0.13,0,0.061,0.049,0.049,0,0.101,0.009
82,0.685,14.895,0.145,3.181,0.02,0.142,2.75,9.91,0.001,0.289,0,0.074,0.1,0.1,0.049,0,0.01
83,0.297,9.852,0.071,1.624,0.009,0.045,0.42,5.016,0.000,0.215,0,0.029,0.033,0.033,0.097,0.095,0.012
84,0.254,13.761,0.153,2.503,0.001,0.014,0.184,16.542,0.000,2.275,0,0.021,0.023,0.023,0,0,0.009
85,0.29,19.343,0.124,1.019,0.033,0.013,0.218,5.015,0.000,0.382,0,0.016,0.022,0.022,0.054,0,0.004
86,0.517,8.351,0.328,2.14,0.012,0.119,0.151,4.943,0.000,0.098,0,0.083,0.062,0.062,0.072,0.133,0.005
87,0.609,10.809,0.232,1.821,0.011,0.029,0.417,3.014,0.000,0.227,0.037,0.031,0.151,0.151,0.045,0,0.000
88,0.428,7.388,0.156,1.524,0.014,0.033,0.622,8.241,0.000,0.34,0.036,0.022,0.045,0.045,0.048,0.174,0.003
89,0.556,14.051,0.222,1.757,0,0.025,0.165,13.868,0.000,0.215,0.036,0.023,0.034,0.034,0.093,0,0.000
90,0.24,9.278,0.258,2.12,0.026,0.017,0.37,4.192,0.000,0.163,0,0.026,0.033,0.033,0,0,0.003
91,0.4,5.196,0.129,1.163,0.004,0.021,0.09,2.538,0.000,0.084,0,0.028,0.026,0.026,0,0,0.000
92,0.299,8.552,0.135,1.223,0.004,0.017,0.188,3.529,0.000,0.208,0,0.04,0.029,0.029,0,0,0
93,0.244,9.54,0.206,2.155,0.021,0.021,0.285,22.382,0.000,1.067,0,0.017,0.055,0.055,0.096,0,0.003
94,0.757,10.569,0.334,1.693,0.004,0.031,0.245,14.471,0.001,0.737,0,0.092,0.035,0.035,0,0.108,0.001
95,0.217,3.884,0.074,0.7,0.007,0.003,0.154,3.117,0.000,0.112,0.039,0.000,0.000,0.000,0,0,0
96,0.516,8.996,0.267,1.217,0.013,-0.005,0.302,5.179,0.000,0.211,0.109,0.026,0.000,0.000,0.048,0,0.001
97,0.379,17.638,0.115,1.363,0.006,0.025,0.169,13.588,0.000,0.198,0.032,0.015,0.047,0.047,0,0,0.005
98,0.551,11.289,0.245,1.931,0.011,0.007,0.136,11.498,0.000,0.589,0,0.019,0.045,0.045,0.049,0,0
99,0.179,9.891,0.384,1.805,0.014,0,0.262,3.054,0.000,0.059,0.036,0.088,0.029,0.029,0.054,0,0.001
100,1.189,26.763,0.41,1.929,0.011,0.036,0.289,1.575,0.000,0.037,0.036,0.287,0.103,0.103,0,0.094,0
101,0.283,8.972,0.382,2.821,0.052,0.055,0.39,2.227,0.000,0.047,0,0.133,0.084,0.084,0.055,0,0.001
102,0.606,9.077,0.3,2.431,0.011,0.163,0.176,2.085,0.000,0.045,0.036,0.063,0.063,0.063,0.047,0,0
103,0.393,25.055,0.234,1.839,0.014,0.073,0.844,1.422,0.000,0.021,0,0.282,0.068,0.068,0,0,0.004
104,0.309,8.311,0.406,3.015,0.034,0.044,1.13,1.962,0.000,0.038,0,0.129,0.032,0.032,0.047,0,0.000
105,0.375,10.909,0.722,3.633,0.024,0.021,0.304,2.4,0.000,0.058,0,0.395,0.06,0.06,0.056,0,0.002
106,0.43,25.096,0.195,1.685,0.017,0.041,0.252,1.466,0.000,0.025,0,0.107,0.036,0.036,0.144,0,0.004
107,0.356,9.178,0.577,4.068,0.025,0.042,0.186,2.218,0.000,0.046,0,0.334,0.022,0.022,0.047,0,0.002
108,0.393,12.346,0.496,3.756,0.021,0.037,0.23,2.258,0.000,0.044,0,0.431,0.03,0.03,0,0,0.003
109,0.514,18.391,0.195,3.897,0.008,0.039,0.111,8.957,0.000,0.268,0,0.03,0.124,0.124,0.047,0,0.003
110,0.428,6.182,0.604,1.08,0.016,0.01,0.159,2.26,0.000,0.028,0,0.035,0.088,0.088,0.05,0,0.003
111,0.456,21.507,0.706,1.567,0.023,0.015,0.14,2.771,0.000,0.045,0,0.012,0.087,0.087,0,0,0.002
112,0.232,7.607,0.114,1.981,0.034,0.054,0.399,5.246,0.000,0.12,0,0.007,0.07,0.07,0,0.082,0.002
113,0.887,9.077,0.185,1.247,0.045,0.056,0.871,6.909,0.000,0.098,0,0.006,0.042,0.042,0.047,0,0.004
114,0.575,14.674,0.188,3.139,0.025,0.008,0.181,9.056,0.001,0.262,0.036,0.003,0.073,0.073,0.065,0,0.001
115,0,0,0,0,0,0,0,2.996,0.000,0.094,0.034,0.02,0.03,0.03,0.064,0,0.000
116,0.469,5.454,0.132,1.652,0.024,0.048,0.376,3.884,0.000,0.088,0,0.042,0.037,0.037,0.238,0,0.000
117,0.417,14.101,1.124,3.038,0.082,0.027,0.255,4.368,0.000,0.063,0,0.04,0.08,0.08,0.193,0,0.003
118,0.358,11.744,0.102,3.644,0.021,0.051,0.086,7.209,0.000,0.167,0,0.028,0.078,0.078,0.188,0.087,0
119,0.532,8.286,0.15,3.171,0.012,0.037,0.103,5.634,0.000,0.117,0,0.011,0.074,0.074,0.089,0.084,0.000
120,0.259,6.937,0.161,0.98,0.021,0.016,0.175,4.884,0,0.058,0,0.012,0.034,0.034,0.098,0,0.001
121,1.299,10.592,0.298,1.156,0.014,0.112,0.472,7.518,0.000,0.127,0,0.051,0.07,0.07,0.098,0.092,0.002
122,0.599,8.729,0.172,1.287,0.014,0.03,0.206,7.231,0.000,0.088,0,0.024,0.075,0.075,0.1,0,0.001
123,0.53,24.801,0.141,6.829,0.048,0.056,0.425,10.326,0.000,0.289,0,0.029,0.113,0.113,0,0,0.000
124,0.631,21.024,0.19,6.734,0.025,0.022,0.189,9.652,0.000,0.287,0,0.014,0.085,0.085,0.101,0,0.000
125,0.528,16.414,1.633,4.093,0.073,0.035,0.244,4.664,0.001,0.083,0.035,0.065,0.088,0.088,0.163,0.196,0.003
126,0.246,7.979,0.168,1.476,0.065,0.089,0.591,1.268,0.000,0.028,0,0.047,0.063,0.063,0.052,0.272,0.001
127,0.321,7.861,0.414,1.671,0.011,0.046,0.216,3.974,0.000,0.055,0,0.027,0.04,0.04,0.054,0.097,0.000
128,0.599,14.964,0.738,2.358,0.02,0.052,0.56,4.531,0.000,0.196,0,0.025,0.089,0.089,0,0,0