Name,Location,CIR,Cr,Cu,As,Se,Cd,Sn,Pb,Rb,Ru,Cs,Ir,V,Co,Ag,Pt,Au,Tl, Li  ,Al,Ti,Ni,Sr,Mo,Rh,Sb,Te,Ba,Hg,Zn,Ca,Fe,K,Mn,Na,P,Mg,Sc,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Predicted Location,Predicted Percentages
JiLin_3,,-15.1318,0.366,12.759,0.258,1.652,0.02,0.101,0.617,5.115,0.022,0.421,0.054,0.062,0.076,1.07,0.04,0.0,0.001,0.0,8.818,4.006,0.205,10.251,0.086,0.0,0.043,0.0,3.08,0.0,4.99,13.83,2.03,276.37,22.79,50.78,141.7,18.48,0.237,0.02,0.117,0.025,0.008,0.018,0.0,0.006,0.015,0.0,0.004,0.0,0.003,0.001,0.0,0.0,CHN,0.86
XinJiang_5,,-15.2903,0.325,12.96,0.217,2.447,0.004,0.043,0.471,9.403,0.0,0.431,0.0,0.06,0.048,0.997,0.0,0.092,0.007,1.987,6.756,6.184,0.081,10.503,0.084,0.002,0.036,0.0,3.07,0.035,4.33,11.53,1.67,341.8,18.15,34.98,172.18,21.59,0.071,0.024,0.009,0.119,0.015,0.021,0.006,0.014,0.014,0.014,0.019,0.004,0.007,0.001,0.003,0.0,CHN,0.9
gansu_2,,-13.753,0.312,9.189,0.117,1.958,0.007,0.029,0.117,7.047,0.018,0.596,0.036,0.046,0.036,1.032,0.085,0.0,0.002,0.0,7.257,8.478,0.082,5.508,0.078,0.0,0.151,0.0,1.707,0.0,3.44,7.91,1.22,239.15,10.63,239.25,196.39,14.61,0.22,0.105,0.214,0.113,0.016,0.084,0.0,0.038,0.006,0.007,0.016,0.005,0.015,0.002,0.022,0.003,CHN,0.83
Henan_1,,-24.0665,0.233,19.288,0.323,1.158,0.014,0.056,0.202,1.903,0.005,0.076,0.0,0.026,0.019,0.906,0.0,0.084,0.004,0.0,0.0,0.0,0.0,2.481,0.0,0.002,0.005,0.0,0.639,0.003,3.36,7.78,2.92,314.07,19.79,39.94,169.68,19.23,0.216,0.009,0.521,0.036,0.0,0.035,0.006,0.01,0.001,0.002,0.015,0.001,0.007,0.0,0.006,0.0,CHN,0.53
Henan_4,,-12.5751,0.34,13.843,0.131,2.158,0.003,0.06,0.532,11.319,0.014,0.574,0.0,0.043,0.081,6.615,0.045,0.0,0.002,1.472,1.155,2.507,0.106,5.068,0.049,0.003,0.021,0.027,1.633,0.0,5.84,7.84,3.46,324.72,21.59,55.63,167.72,19.76,0.049,0.035,0.021,0.058,0.013,0.082,0.007,0.029,0.009,0.002,0.015,0.004,0.014,0.0,0.0,0.001,CHN,0.84
NingXia_9,,-11.1755,0.372,15.204,0.126,2.683,0.012,0.063,0.27,12.567,0.0,0.619,0.0,0.047,0.084,1.355,0.054,0.0,0.005,0.0,3.168,3.983,0.054,8.549,0.072,0.012,0.059,0.0,2.355,0.0,6.17,14.67,1.88,353.97,28.96,50.98,186.15,23.31,0.116,0.027,0.02,0.044,0.003,0.047,0.0,0.004,0.013,0.0,0.011,0.002,0.004,0.001,0.003,0.002,CHN,0.86
QingHai_5,,-20.8804,0.353,11.976,0.152,1.803,0.021,0.03,0.714,21.873,0.0,2.356,0.0,0.032,0.019,0.882,0.0,0.0,0.125,0.0,1.557,4.826,0.618,2.717,0.022,0.004,0.02,0.0,1.037,0.0,2.49,4.68,1.55,280.29,12.53,29.18,143.32,15.88,0.126,0.026,0.042,0.096,0.013,0.013,0.0,0.025,0.01,0.002,0.0,0.003,0.0,0.0,0.01,0.002,CHN,0.87
QingHai_8,,-19.2862,0.356,11.322,0.284,1.611,0.018,0.05,0.528,8.149,0.0,0.301,0.0,0.023,0.03,0.757,0.0,0.0,0.005,0.0,31.338,3.827,0.041,7.15,0.069,0.004,0.03,0.0,2.269,0.0,3.05,10.44,1.78,301.08,16.11,41.78,148.99,18.44,0.047,0.035,0.437,0.126,0.01,0.036,0.032,0.01,0.012,0.007,0.0,0.002,0.014,0.0,0.009,0.004,CHN,0.98
JiangSu_2-2,,-15.2323,0.276,8.114,0.15,1.431,0.045,0.037,0.379,7.455,0.0,0.492,0.0,0.028,0.057,1.207,0.05,0.0,0.0,0.0,5.369,4.02,0.085,10.251,0.071,0.0,0.059,0.0,3.67,0.0,4.16,12.91,1.26,225.11,19.91,43.6,117.17,14.75,0.3,0.194,4.729,0.585,0.073,0.092,0.105,0.104,0.101,0.013,0.049,0.014,0.025,0.01,0.024,0.003,CHN,0.79
SiChuan_3,,-19.2918,0.297,9.852,0.071,1.624,0.009,0.045,0.42,5.016,0.0,0.215,0.0,0.029,0.033,0.6,0.097,0.095,0.012,0.0,7.167,3.321,0.029,4.275,0.02,0.0,0.848,0.07,1.207,0.0,3.71,7.0,1.43,187.51,12.71,31.62,104.05,11.91,0.165,0.057,0.167,0.232,0.004,0.063,0.015,0.016,0.044,0.005,0.015,0.009,0.007,0.001,0.012,0.002,CHN,0.72
ShanDong_3,,-22.3885,0.24,9.278,0.258,2.12,0.026,0.017,0.37,4.192,0.0,0.163,0.0,0.026,0.033,1.068,0.0,0.0,0.003,3.025,6.024,2.602,0.021,5.203,0.0,0.0,0.021,0.0,1.942,0.0,1.94,10.17,2.06,271.01,13.88,39.0,140.82,15.98,0.174,0.02,0.847,0.11,0.011,0.039,0.014,0.034,0.01,0.004,0.016,0.0,0.004,0.001,0.013,0.0,CHN,0.85
ShanDong_9,,-21.4385,0.516,8.996,0.267,1.217,0.013,-0.005,0.302,5.179,0.0,0.211,0.109,0.026,0.0,0.68,0.048,0.0,0.001,0.0,7.122,10.017,0.0,4.906,0.129,0.003,0.046,0.042,1.479,0.0,2.95,7.7,1.43,331.18,13.75,43.15,166.63,19.27,0.21,0.048,0.106,0.079,0.011,0.063,0.0,0.015,0.006,0.002,0.005,0.001,0.0,0.0,0.003,0.0,CHN,0.9
ARG_34,,-23.965,1.189,26.763,0.41,1.929,0.011,0.036,0.289,1.575,0.0,0.037,0.036,0.287,0.103,0.856,0.0,0.094,0.0,0.0,11.659,3.804,0.185,7.976,0.173,0.0,0.017,0.0,1.992,0.0,3.77,11.7,2.63,202.38,22.26,61.92,134.32,15.12,0.345,0.027,0.682,0.153,0.003,0.024,0.007,0.019,0.024,0.006,0.02,0.004,0.011,0.001,0.011,0.003,ARG,0.71
ARG_37,,-23.8892,0.393,25.055,0.234,1.839,0.014,0.073,0.844,1.422,0.0,0.021,0.0,0.282,0.068,1.25,0.0,0.0,0.004,0.0,4.834,3.691,0.091,8.804,0.235,0.001,0.04,0.0,2.544,0.0,3.25,11.93,3.0,219.41,23.6,62.87,130.16,15.3,0.143,0.03,0.069,0.066,0.007,0.0,0.015,0.017,0.002,0.004,0.012,0.007,0.008,0.0,0.01,0.003,ARG,0.69
ARG_42,,-17.9402,0.393,12.346,0.496,3.756,0.021,0.037,0.23,2.258,0.0,0.044,0.0,0.431,0.03,0.922,0.0,0.0,0.003,0.0,5.032,3.781,0.0,10.261,0.337,0.002,0.033,0.0,2.452,0.0,4.68,13.73,2.64,274.45,14.75,72.21,147.93,16.46,0.135,0.085,0.149,0.124,0.018,0.078,0.014,0.042,0.011,0.004,0.006,0.012,0.016,0.0,0.013,0.002,ARG,0.65
ARG_113,,-18.563,0.232,7.607,0.114,1.981,0.034,0.054,0.399,5.246,0.0,0.12,0.0,0.007,0.07,0.638,0.0,0.082,0.002,0.0,8.599,3.467,0.2,9.733,0.056,0.0,0.053,0.0,3.269,0.0,3.71,10.55,1.79,152.97,31.26,35.04,84.76,11.29,0.446,0.058,0.067,0.065,0.022,0.052,0.015,0.01,0.026,0.0,0.011,0.001,0.004,0.0,0.003,0.0,CHN,0.59
ARG_220,,-14.9068,0.599,14.964,0.738,2.358,0.02,0.052,0.56,4.531,0.0,0.196,0.0,0.025,0.089,0.921,0.0,0.0,0.0,0.0,3.138,3.791,0.127,5.987,0.076,0.0,0.016,0.0,1.315,0.0,5.7,8.77,3.58,283.37,23.64,58.52,150.01,19.27,0.314,0.009,0.002,0.003,0.0,0.013,0.0,0.002,-0.003,0.002,0.005,0.0,0.0,0.001,0.0,0.0,CHN,0.58
